filename,sample_name,description,ingredients_1,ingredients_2,ingredients_3,ingredients_4,ingredients_5,ingredients_6,ingredients_7
AMZ_1_tk2_RA2_01_48879.mzXML,AMZ_01,Cheese pastry,Wheat flour,cheese,,,,,
AMZ_10_tk2_RA11_01_48975.mzXML,AMZ_10,White rice,"rice, salt, soya oil",,,,,,
AMZ_11_RB2_01_48905.mzXML,AMZ_11,Lentils cooked with bacon,"Lentels coked with baccon, sweet peper, oregano, soya oil, onoto (Bixa orellana) ",,,,,,
AMZ_12_RB3_01_48908.mzXML,AMZ_12,Fried egg,Fried egg with soya oil,,,,,,
AMZ_13_RB4_01_49040.mzXML,AMZ_13,Cow liver with onion,onion,,,,,,
AMZ_14_RB5_01_49038.mzXML,AMZ_14,Fried arepa,precooked corn flour,,,,,,
AMZ_15_RB6_01_48916.mzXML,AMZ_15,Traditional cake,Traditional cake,,,,,,
AMZ_16_RB7_01_49037.mzXML,AMZ_16,Baked arepas filled with canned jam (diablito)  and mayonesse ,Baked arepas filled with canned jam (diablito)  and mayonesse ,,,,,,
AMZ_17_tk2_RB8_01_48980.mzXML,AMZ_17,Boiled plantain,Boiled plantain,,,,,,
AMZ_18_RB9_01_48924.mzXML,AMZ_18,Rice with chicken,"rice, chiken, onion, sweet peper, oregano, chivas",,,,,,
AMZ_19_RB10_01_48927.mzXML,AMZ_19,Boiled yucca,Boiled yucca (Manihot esculenta),,,,,,
AMZ_2_RA3_01_48881.mzXML,AMZ_02,"Spagetties, black beans, cooked mortadella",Spagetties,"black beans, cooked mortadella, salt, soya oil with onoto, peper, oregano, sweet peper, onion",,,,,
AMZ_20_RB11_01_48930.mzXML,AMZ_20,Yucca cake,"Margarine, milk, eggs, sugar, cheese",,,,,,
AMZ_21_RC2_01_48934.mzXML,AMZ_21,Rice,Rice,,,,,,
AMZ_22_RC3_01_48937.mzXML,AMZ_22,Chicken,Chicken,,,,,,
AMZ_23_RC4_01_48940.mzXML,AMZ_23,Green fried plaintain,Green fried plaintain,,,,,,
AMZ_24_RC5_01_48943.mzXML,AMZ_24,Plantain,Ripe banana fried in soya oil,,,,,,
AMZ_25_RC6_01_48945.mzXML,AMZ_25,Stewed meat,"stewed cow meat, salt, fresh tomatos, onion, sweet paper, chives, oregano, soya oil with onoto",,,,,,
AMZ_26_RC7_01_48947.mzXML,AMZ_26,Rice,"rice, salt and soya oil",,,,,,
AMZ_27_RC8_01_48949.mzXML,AMZ_27,Fried catfish with soya oil (no skin),salt and cooking oil with onoto,,,,,,
AMZ_28_RC9_01_48951.mzXML,AMZ_28,bean dish,"brown beans, worcestershire sauce, salt, fresh tomatos, onion, sweet paper green and red, peper, leek, carrot, chive, oregano",,,,,,
AMZ_29_RC10_01_48954.mzXML,AMZ_29,Baked arepa,Precoked corn wheat,,,,,,
AMZ_3_RA4_01_48882.mzXML,AMZ_03,Bread filled with fried egg,"White breat made on bakery, fried egg with soya oil, salt",,,,,,
AMZ_30_RC11_01_48956.mzXML,AMZ_30,Fried egg,"egg, oil, salt",,,,,,
AMZ_31_tk2_RD2_01_48960.mzXML,AMZ_31,Rice with catara,"sweet peper, fresh tomatos, onion, soya oil with onoto, catara with ants, salt",,,,,,
AMZ_32_RD3_01_48961.mzXML,AMZ_32,Fried egg,"egg, oil, salt",,,,,,
AMZ_33_RD4_01_48963.mzXML,AMZ_33,Rice,"rice, sweet peper, fresh tomatos, onion",,,,,,
AMZ_34_RD5_01_48964.mzXML,AMZ_34,Fried chiken with catara,chiken with peper fried with soya oil,,,,,,
AMZ_35_RD6_01_49036.mzXML,AMZ_35,Cashew (Anacardium occidentale),only pulp (red),,,,,,
AMZ_36_RD7_01_48967.mzXML,AMZ_36,Pasta with cheese,"pasta, white salty cheese",,,,,,
AMZ_37_RD8_01_48977.mzXML,AMZ_37,Cocura pulp (no skin),fruit cocura,,,,,,
AMZ_38_RD9_01_48978.mzXML,AMZ_38,Red pijiguao,"Fruit red pijiguao, only pulp",,,,,,
AMZ_39_RD10_01_48981.mzXML,AMZ_39,Boiled fish,"Catfish, salt, natural garlic",,,,,,
AMZ_4_tk2_RA5_01_48887.mzXML,AMZ_04,Tuna with manoco,Can of tuna in oil with yellow manoco,,,,,,
AMZ_40_RD11_01_48984.mzXML,AMZ_40,Manoco,Manoco,,,,,,
AMZ_41_RE2_01_48968.mzXML,AMZ_41,Pasta with cheese,"pasta, cheese",,,,,,
AMZ_42_RE3_01_48985.mzXML,AMZ_42,Chicken,"stewed chiken, worcestershire sauce, salt, natural tomatos, onion, sweet paper green and red, peper, leek, carrot, chive, or?gano, soya oil with onoto, liquid concentrated of garlic",,,,,,
AMZ_43_RE4_01_48972.mzXML,AMZ_43,Rice,"carrot, salt, oil with onoto",,,,,,
AMZ_44_RE5_01_48986.mzXML,AMZ_44,Red meat,"sweet peper, fresh tomatos, chivas",,,,,,
AMZ_45_RE6_01_48973.mzXML,AMZ_45,Rice,"carrot, salt, oil with onoto",,,,,,
AMZ_46_RE7_01_48979.mzXML,AMZ_46,Plantain,Plantain,,,,,,
AMZ_47_RE8_01_48969.mzXML,AMZ_47,Teque±os with cheese,fried wheat flour  with white cheese,,,,,,
AMZ_48_RE9_01_49035.mzXML,AMZ_48,Meat empanada,fried corn flour with red meat,,,,,,
AMZ_49_RE10_01_48988.mzXML,AMZ_49,Sweted meat empanada,fried corn flour with red stewed meat,,,,,,
AMZ_5_RA6_01_48889.mzXML,AMZ_05,Toasted bread with butter,Bakery white bread,,,,,,
AMZ_50_RE11_01_48989.mzXML,AMZ_50,Chicken empanada,fried corn flour with chiken,,,,,,
AMZ_6_RA7_01_48891.mzXML,AMZ_06,Stewed chicken,"chivas, onion, sweet peper, oil with onoto, salt, comino",,,,,,
AMZ_7_RA8_01_48895.mzXML,AMZ_07,Plantain with butter and sugar,Plantain with butter and sugar,,,,,,
AMZ_8_RA9_01_48899.mzXML,AMZ_08,White rice,"rice, salt, oil",,,,,,
